STATE_NAME,N_Comp_2006,N_Comp_2007,N_Comp_2008,N_Comp_2009,N_Comp_2010,N_Comp_2011,N_Comp_2012,N_Comp_2013,N_Comp_2014,N_Comp_2015,N_Comp_2016
Alabama,1980,2152,2998,3712,3949,4022,3659,979,3202,3507,1226
Alaska,1853,2436,2317,3394,4860,1539,1542,221,2379,1379,215
Arizona,4477,4981,6595,7982,7899,7196,5990,1764,6040,5770,2226
Arkansas,1197,1354,1719,2041,2126,2105,1918,442,2053,1915,532
California,23774,25904,34851,39758,41621,37552,31780,12505,30923,34842,15240
Colorado,4010,4407,6691,7196,8202,6787,5553,1195,4953,5270,1628
Connecticut,2007,1873,2278,2676,3038,2953,2574,635,2295,2533,794
Delaware,441,440,609,827,911,817,720,505,802,761,1149
District of Columbia,457,460,708,791,911,911,733,2142,806,890,1360
Florida,12519,12992,16936,21551,24000,21997,18903,7447,18637,20306,8528
Georgia,5142,4711,6514,6935,7899,7007,6175,2800,5706,6374,3614
Hawaii,819,810,1094,1267,1215,1288,1135,216,1020,1074,296
Idaho,1040,948,1353,1465,1519,1382,1173,223,1057,1068,346
Illinois,6246,6214,8049,10148,10025,9647,8297,2911,7746,8413,3841
Indiana,3567,3511,4649,5315,5468,5247,4426,1117,4102,5716,1246
Iowa,1275,1276,1631,1955,1822,2136,1782,330,1454,1593,565
Kansas,1546,1418,2417,2510,2430,2168,2003,507,1688,1799,1079
Kentucky,1876,1818,2317,2821,3038,2733,2570,683,2346,2529,777
Louisiana,2021,1971,2681,3300,3341,3205,2731,766,2382,2639,919
Maine,749,739,950,1106,1215,1005,965,268,726,782,240
Maryland,3907,4685,6287,6935,8202,6913,6146,1310,5677,5944,3241
Massachusetts,3430,3499,4492,5232,5772,5059,4383,1181,4182,4372,1443
Michigan,5144,5007,6482,7800,8202,7479,6135,1631,5633,6265,2178
Minnesota,2550,2773,3578,3899,4253,3708,3116,816,2876,3303,1084
Mississippi,1013,937,1302,1512,1519,1728,1450,333,1315,1353,1384
Missouri,3249,3386,4279,5118,4860,4682,4011,1021,3487,4210,1384
Montana,536,570,694,869,911,942,781,340,691,733,547
Nebraska,841,781,1312,1177,1215,1099,1101,662,880,1079,2444
Nevada,2049,2101,2940,3588,3949,3865,3555,1538,3716,3660,1748
New Hampshire,1965,864,1139,1341,1519,1225,1047,230,904,945,250
New Jersey,6333,5554,8270,14520,13063,12632,9039,2037,7028,7215,2439
New Mexico,1263,1055,1469,1177,2126,1854,1521,300,1504,1443,406
New York,9630,10178,13010,14778,17620,16560,13517,7189,14430,15116,7636
North Carolina,4866,4625,6378,7407,7595,7384,6277,1782,5724,6112,287
North Dakota,264,225,320,374,303,408,427,331,360,368,287
Ohio,5815,5640,7285,8663,8810,13921,7234,2014,6114,6458,2414
Oklahoma,1752,1557,2417,2704,2734,2639,2263,625,2027,2402,1283
Oregon,2774,2976,3829,4751,4253,3928,3413,876,2906,3294,1109
Pennsylvania,7044,6494,8703,9858,10937,10495,8763,2463,8138,7927,2433
Rhode Island,581,535,749,830,911,848,731,199,582,638,200
South Carolina,2161,2096,2175,3439,3645,3425,3333,870,2836,3099,1374
South Dakota,265,297,389,421,607,471,394,145,336,3386,146
Tennessee,3201,3147,4453,5555,5772,5687,4727,1039,3909,4571,1814
Texas,12698,12918,17114,20841,22178,20300,17119,6762,16954,18392,11309
Utah,2513,1758,2253,2506,2734,2262,1868,846,1825,1947,1262
Vermont,362,366,486,576,607,597,464,110,382,382,186
Virginia,5267,5270,7033,8179,9114,9301,7812,1680,7112,7534,2603
Washington,4792,5612,6939,8035,8810,7667,6434,2348,6388,6518,2779
West Virginia,982,913,1218,1389,1519,1539,1255,262,1088,1083,312
Wisconsin,2897,2790,3509,2506,4253,4368,3593,788,3231,3427,774
Wyoming,333,379,474,505,607,565,461,147,561,475,138
