,N_Property_2006,N_Property_2007,N_Property_2008,N_Property_2009,N_Property_2010,N_Property_2011,N_Property_2012,N_Property_2013,N_Property_2014,N_Property_2015,N_Property_2016,N_Violence_2006,N_Violence_2007,N_Violence_2008,N_Violence_2009,N_Violence_2010,N_Violence_2011,N_Violence_2012,N_Violence_2013,N_Violence_2014,N_Violence_2015,N_Violence_2016,N_LawEnforce_2006,N_LawEnforce_2007,N_LawEnforce_2008,N_LawEnforce_2009,N_LawEnforce_2009,N_LawEnforce_2010,N_LawEnforce_2011,N_LawEnforce_2012,N_LawEnforce_2013,N_LawEnforce_2014,N_LawEnforce_2015,N_LawEnforce_2016
Alabama,181021,183798,190343,177629,168092,173190,168878,161993,154094,144785,143362,19557,20732,21111,21179,18056,20174,21693,20826,20727,22957,25886,15697,16347,16172,16917,16917,16205,16185,12745,14173,11455,13079,13079
Alaska,24155,23098,20124,20577,20259,19028,20037,21210,20334,20806,24876,4610,4519,4474,4421,4537,4383,4412,4708,4684,5391,5966,1937,1888,1963,1977,1977,1944,1990,1968,1937,1938,1939,1939
Arizona,285370,279794,278920,234582,225893,230422,231930,225243,215240,207184,206432,30916,30600,29059,26929,26085,26311,28108,27599,26916,27968,32583,21434,22144,22912,22910,22910,22130,20759,22999,21192,22817,22653,22653
Arkansas,111521,112061,109508,109038,103775,110295,107941,106613,99018,97391,97673,15506,15007,14374,14959,14735,14129,13835,13621,14234,15769,16461,8266,8455,9678,9970,9970,9964,9074,9148,9250,9380,9352,9352
California,1156017,1108660,1080747,1009614,981939,973901,1049465,1018907,947192,1024914,1002070,194120,191025,185173,174459,164133,154944,160944,154129,153709,166883,174796,115912,120976,123506,121879,121879,118884,116797,117268,117322,118491,118407,118407
Colorado,164054,146141,140725,133968,134992,133361,139270,140057,135510,144044,161850,18616,16906,16946,16976,16133,16383,16023,16226,16554,17348,18983,16471,16756,16859,17435,17435,17071,16700,17270,17441,15009,17940,17940
Connecticut,87764,84052,86087,82181,78386,77609,76834,70990,69070,65610,64664,9841,8965,10427,10508,10057,9767,10160,9440,8522,7938,8123,9703,9873,10657,10556,10556,10476,10254,10271,10349,10461,9696,9696
Delaware,29171,29143,31303,29648,30963,30939,30639,28379,27900,25545,26334,5817,5960,6141,5635,5575,5075,5020,4549,4576,4760,4844,3085,3125,3159,3127,3127,3170,3139,3151,3168,3243,3303,3303
District of Columbia,27063,28908,30211,28456,28756,29636,30736,31083,34147,31444,32716,8772,8320,8509,8071,8004,7429,7864,8406,8199,8538,8214,4880,5021,5190,5189,5189,4477,4919,4976,5065,5050,5010,5010
Florida,721084,746347,758934,712010,669035,671200,632988,607172,679446,570270,553812,128795,131880,126265,113541,101969,98199,94087,91986,107521,93625,88700,74051,74562,73872,72235,72235,72390,71906,65683,67816,60714,58280,58280
