,Population_2006,Population_2007,Population_2008,Population_2009,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016
Alabama,4597688,4637904,4677464,4708708,4785579,4798649,4813946,4827660,4840037,4850858,4860545
Alaska,677325,682297,688125,698473,714015,722259,730825,736760,736759,737979,741522
Arizona,6192100,6362241,6499377,6595778,6407002,6465488,6544211,6616124,6706435,6802262,6908642
Arkansas,2815097,2842194,2867764,2889450,2921737,2938640,2949208,2956780,2964800,2975626,2988231
California,35979208,36226122,36580371,36961664,37327690,37672654,38019006,38347383,38701278,39032444,39296476
Colorado,4753044,4842259,4935213,5024748,5048029,5116411,5186330,5262556,5342311,5440445,5530105
Connecticut,3485162,3488633,3502932,3518288,3580171,3591927,3597705,3602470,3600188,3593862,3587685
Delaware,853022,864896,876211,885122,899712,907884,916868,925114,934805,944107,952698
District of Columbia,583978,586409,590074,599657,605040,620336,635630,650114,660797,672736,684336
Florida,18088505,18227888,18423878,18537969,18846461,19097369,19341327,19584927,19897747,20268567,20656589
Georgia,9330086,9533761,9697838,9829211,9712696,9810595,9911171,9981773,10083850,10199533,10313620
Hawaii,1275599,1276832,1287481,1295178,1363817,1378323,1392772,1408038,1417710,1426320,1428683
Idaho,1464413,1499245,1527506,1545801,1570912,1583180,1594673,1610187,1630391,1649324,1680026
Illinois,12718011,12779417,12842954,12910409,12841196,12862298,12878494,12890403,12882438,12862051,12835726
Indiana,6301700,6346113,6388309,6423113,6490029,6515358,6535665,6567484,6593182,6610596,6634007
Iowa,2964391,2978719,2993987,3007856,3050223,3063690,3074386,3089876,3105563,3118473,3130869
Kansas,2755700,2775586,2797375,2818747,2858403,2868756,2885316,2892900,2899553,2905789,2907731
Kentucky,4219374,4256278,4287931,4314113,4347948,4368505,4383673,4399121,4410415,4422057,4436113
Louisiana,4240327,4376122,4451513,4492076,4544871,4574388,4602681,4626795,4648797,4671211,4686157
Maine,1314963,1317308,1319691,1318301,1327568,1327968,1328101,1327975,1328903,1327787,1330232
Maryland,5612196,5634242,5658655,5699478,5788099,5843115,5891680,5932654,5970245,6000561,6024752
Massachusetts,6466399,6499275,6543595,6593587,6564943,6612178,6659627,6711138,6757925,6794002,6823721
Michigan,10082438,10050847,10002486,9969727,9876731,9876199,9886610,9899219,9914675,9918170,9933445
Minnesota,5148346,5191206,5230567,5266214,5310711,5345967,5377695,5416074,5452649,5483238,5525050
Mississippi,2897150,2921723,2940212,2951996,2970437,2977452,2982963,2987721,2988578,2985297,2985415
Missouri,5861572,5909824,5956335,5987580,5995681,6010280,6023267,6041142,6058014,6072640,6091176
Montana,946230,957225,968035,974989,990507,996866,1003522,1011921,1019931,1028317,1038656
Nebraska,1760435,1769912,1781949,1796619,1829956,1841641,1854862,1867414,1880920,1893564,1907603
Nevada,2493405,2567752,2615772,2643085,2702797,2718170,2752410,2786547,2831730,2883057,2939254
New Hampshire,1311894,1317343,1321872,1324575,1316700,1318345,1320923,1322622,1328684,1330134,1335015
New Jersey,8623721,8636043,8663398,8707739,8803708,8844694,8882095,8913735,8943010,8960001,8978416
New Mexico,1942608,1968731,1986763,2009671,2064607,2077744,2083590,2085161,2083207,2082264,2085432
New York,19356564,19422777,19467789,19541453,19405185,19526372,19625409,19712514,19773580,19819347,19836286
North Carolina,8866977,9064074,9247134,9380884,9574247,9662940,9755299,9849812,9941160,10041769,10156689
North Dakota,636771,638202,641421,646844,674518,684830,701380,722908,738658,754859,755548
Ohio,11492495,11520815,11528072,11542645,11539282,11543332,11546969,11567845,11593741,11606027,11622554
Oklahoma,3574334,3612186,3644025,3687050,3759529,3785232,3815298,3849840,3875008,3904353,3921207
Oregon,3677545,3732957,3782991,3825657,3837073,3865845,3893920,3919664,3960673,4016537,4085989
Pennsylvania,12471142,12522531,12566368,12604767,12711063,12742811,12768034,12778450,12790341,12791124,12787085
Rhode Island,1060196,1055009,1053502,1053209,1053169,1052154,1052761,1052784,1054782,1055916,1057566
South Carolina,4339399,4424232,4503280,4561242,4635834,4672744,4719009,4765862,4824758,4892423,4959822
South Dakota,788519,797035,804532,812383,816227,823338,832576,842513,849455,854036,861542
Tennessee,6089453,6172862,6240456,6296254,6355882,6396281,6450632,6490795,6540007,6590726,6649404
Texas,23369024,23837701,24304290,24782302,25241648,25644424,26078327,26479279,26954436,27454880,27904862
Utah,2583724,2663796,2727343,2784572,2775260,2815430,2854222,2899961,2938671,2984917,3044321
Vermont,619985,620460,621049,621760,625842,626210,625606,626044,625665,624455,623354
Virginia,7646996,7719749,7795424,7882590,8025206,8107548,8188656,8261689,8316902,8366767,8414380
Washington,6372243,6464979,6566073,6664195,6741386,6819155,6890899,6963410,7046931,7152818,7280934
West Virginia,1807237,1811198,1814873,1819777,1854315,1854891,1855360,1852333,1847624,1839767,1828637
Wisconsin,5571680,5601571,5627610,5654774,5690403,5705812,5721075,5736673,5751272,5759744,5772917
Wyoming,512841,523414,532981,544270,564376,567602,576608,582341,583334,586102,584910
Average,,,,,,,,,,,
