STATE_NAME,Total_M_Loss_2006,Total_M_Loss_2007,Total_M_Loss_2008,Total_M_Loss_2009,Total_M_Loss_2010,Total_M_Loss_2011,Total_M_Loss_2012,Total_M_Loss_2013,Total_M_Loss_2014,Total_M_Loss_2015,Total_M_Loss_2016
Alabama,"2,400,000","2,500,000","2,620,000","5,700,000","5,500,000","4,087,028","5,093,049","6,097,466","5,529,073","11,996,901","7,178,091"
Alaska,"650,000","680,000","41,538","9,700,000","1,700,000","1,275,859","1,665,603","1,134,677","1,273,764","6,217,134","2,276,799"
Arizona,"4,800,000","7,300,000","8,050,000","17,800,000","9,400,000","10,999,652","11,484,211","12,518,439","25,399,954","18,087,735","20,567,423"
Arkansas,"1,500,000","1,300,000","1,750,000","4,500,000","2,100,000","2,925,389","3,564,473","2,628,423","3,972,610","4,817,249","7,917,870"
California,"23,200,000","29,200,000","42,480,000","92,400,000","46,300,000","70,479,912","68,120,064","105,118,346","131,363,796","195,490,403","255,181,657"
Colorado,"5,100,000","5,400,000","5,300,000","13,600,000","11,600,000","8,110,787","8,358,573","10,611,521","11,487,488","15,411,608","30,893,224"
Connecticut,"2,100,000","200,000","2,100,000","8,600,000","3,300,000","4,434,352","4,106,121","3,909,247","11,478,793","10,499,866","6,960,531"
Delaware,"600,000","340,000","700,000","8,000,000","1,200,000","872,365","1,849,420","2,180,846","2,434,469","1,581,291","1,675,255"
District of Columbia,"300,000","290,000","297,005","1,340,000","720,000","1,825,865","765,478","918,293","1,551,758","2,729,582","1,921,649"
Florida,"17,600,000","22,800,000","24,900,000","46,800,000","37,000,000","31,552,488","34,419,348","48,778,217","52,544,107","94,526,977","88,841,178"
Georgia,"6,500,000","7,300,000","6,700,000","14,300,000","10,600,000","8,089,934","12,150,521","18,693,316","15,847,730","17,950,722","25,477,413"
Hawaii,"1,100,000","1,000,000","880,000","2,000,000","1,900,000","2,675,128","2,301,640","2,415,892","2,497,141","3,395,581","2,924,323"
Idaho,"1,400,000","1,200,000","1,000,000","3,300,000","1,700,000","2,229,701","2,096,452","2,748,012","3,380,639","2,493,999","4,174,839"
